batch,accuracy,f1,auc
1,0.84,0.75,0.9117647058823529
2,0.8,0.8,0.8636363636363636
3,1.0,1.0,1.0
4,0.92,0.9285714285714286,0.9166666666666667
5,1.0,1.0,1.0
6,0.92,0.9090909090909091,0.9545454545454546
7,0.88,0.88,0.9935064935064934
8,0.88,0.8235294117647058,0.9338235294117647
9,0.96,0.9473684210526315,0.9652777777777778
10,0.96,0.9523809523809523,0.9666666666666667
11,0.96,0.9411764705882353,0.9861111111111112
12,1.0,1.0,1.0
13,0.96,0.9629629629629629,1.0
14,0.96,0.9411764705882353,0.9705882352941175
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,0.92,0.9285714285714286,0.9583333333333334
18,0.96,0.9523809523809523,1.0
19,0.96,0.96,1.0
20,0.96,0.9565217391304348,0.9935897435897436
21,1.0,1.0,1.0
22,0.96,0.967741935483871,0.9500000000000001
23,0.96,0.9565217391304348,0.9642857142857142
24,1.0,1.0,1.0
25,0.92,0.9230769230769231,0.9230769230769231
26,0.88,0.88,0.9230769230769231
27,1.0,1.0,1.0
28,0.96,0.96,1.0
29,1.0,1.0,1.0
30,0.8,0.6666666666666666,0.9548611111111112
31,0.84,0.8181818181818182,0.8633333333333333
32,0.96,0.9523809523809523,1.0
33,0.92,0.9230769230769231,0.9871794871794872
34,1.0,1.0,1.0
35,0.96,0.9411764705882353,0.9705882352941176
36,1.0,1.0,1.0
37,1.0,1.0,1.0
38,0.96,0.9411764705882353,0.9705882352941176
39,0.88,0.8235294117647058,0.9338235294117647
40,0.96,0.967741935483871,1.0
41,1.0,1.0,1.0
42,1.0,1.0,1.0
43,1.0,1.0,1.0
44,0.96,0.96,0.9615384615384616
45,0.88,0.8571428571428571,0.92
46,0.96,0.96,0.9807692307692307
47,1.0,1.0,1.0
48,0.92,0.9230769230769231,0.9935897435897435
49,0.88,0.88,0.9285714285714285
50,0.96,0.9333333333333333,0.9705882352941175
51,0.88,0.8571428571428571,0.90625
